emotes,sentiment
KappaRoss,1
KAPOW,0
OpieOP,0
AMPEnergy,0
Poooound,1
RedCoat,0
JonCarnage,0
PeteZarollTie,0
PipeHype,0
FrankerZ,0
TooSpicy,0
CorgiDerp,0
OhMyDog,0
SMOrc,0
DogFace,0
RuleFive,0
RaccAttack,0
VoHiYo,1
PeteZaroll,0
DoritosChip,0
EleGiggle,1
TriHard,0
StinkyCheese,0
BatChest,0
cmonBruh,0
DendiFace,0
bleedPurple,0
RalpherZ,0
PicoMause,0
BrokeBack,-1
NervousMonkey,0
JKanStyle,0
StrawBeary,0
OneHand,0
ShadyLulu,0
DansGame,-1
NomNom,0
BudBlast,0
ItsBoshyTime,0
ChefFrank,0
ShazBotstix,0
MVGame,0
PartyTime,0
NinjaTroll,0
BCWarrior,0
NotLikeThis,-1
StoneLightning,0
NoNoSpot,0
Mau5,0
BigBrother,0
TBTacoLeft,0
DAESuppy,0
ResidentSleeper,-1
PermaSmug,0
OSkomodo,0
Keepo,0
UleetBackup,0
UncleNox,0
4Head,1
TakeNRG,1
CoolCat,0
PMSTwin,0
MingLee,1
DatSheffy,0
FUNgineer,0
HeyGuys,1
HassaanChop,0
SGmouth,0
pastaThat,0
Kippa,0
TBTacoRight,0
Kreygasm,1
BloodTrail,1
OSsloth,0
NotATK,0
HotPokket,0
VoteNay,-1
CoolStoryBob,1
DBstyle,0
FunRun,1
AMPEnergyCherry,0
copyThis,0
AMPTropPunch,1
CurseLit,0
ThunBeast,0
TTours,0
HumbleLife,0
PogChamp,1
RitzMitz,0
KevinTurtle,0
BCouch,0
MikeHogu,0
PuppeyFace,0
OSfrog,0
PrimeMe,0
SSSsss,0
WTRuck,0
PraiseIt,0
GrammarKing,0
panicBasket,0
duDudu,0
SeemsGood,1
TF2John,0
BabyRage,-1
TheTarFu,0
NerfRedBlaster,0
GivePLZ,1
PJSugar,0
TheThing,0
PRChase,0
ANELE,0
Jebaited,0
GingerPower,0
Kappa,1
SGlemon,0
imGlitch,0
PeoplesChamp,0
VoteYea,1
ArgieB8,0
ArsonNoSexy,0
PanicVis,0
EagleEye,0
YouWHY,0
SmoocherZ,0
deIlluminati,0
KappaWealth,1
SwiftRage,-1
UnSane,0
FutureMan,1
AsianGlow,0
TwitchRPG,0
DxCat,0
BibleThump,-1
PJSalt,-1
SoonerLater,0
riPepperonis,0
BrainSlug,0
WholeWheat,0
FailFish,-1
KappaClaus,1
BlargNaut,0
twitchRaid,0
TinyFace,0
TheRinger,0
SGrasp,0
OptimizePrime,0
DxAbomb,0
PunchTrees,0
SuperVinlin,0
FPSMarksman,0
FreakinStinkin,0
GOWSkull,0
HassanChop,0
MrDestructoid,0
BudStar,0
SoBayed,0
OMGScoots,0
NerfBlueBlaster,0
TBCheesePull,0
KappaPride,1
BuddhaBar,0
WutFace,-1
mcaT,0
:),1
:(,-1
:o,1
:z,-1
B),1
:\,-1
:|,0
;),1
;p,1
:p,1
:>,1
<],1
:7,0
R),0
o_O,0
#/,0
:D,1
>(,-1
<3,1
lul,0
lol,0
